Rewards,Times
-181.72474539343042,0.0041194949994678605
-171.07691033302413,0.004348732000216841
-173.63570081551651,0.004565539002069272
-167.8030392636933,0.0042863850013236515
-168.1085001012715,0.0039742579986341295
-165.20830533440738,0.003939737998880446
-167.37554483070656,0.004218372999166604
-164.49303767997029,0.0041305849998025225
-165.61704992658005,0.004523511000152212
-164.03927515539502,0.00395646000164561
-164.74119132041403,0.004086062000715174
-165.57937146705598,0.00405384099954972
-164.8661380820895,0.0039969039990683086
-166.17986054475816,0.004244512999721337
-164.098392403179,0.004090325000870507
-162.3259773431686,0.004287805997882969
-162.79434778716464,0.004471960999071598
-162.26905522432438,0.0043375949989422225
-164.04106553726066,0.004028327999985776
-164.55138894477258,0.0038917979988036676
-163.99452071318137,0.004075732002675068
-166.18931044221034,0.003927723001106642
-164.16927295725844,0.0039745639989268965
-166.4998663588827,0.003930311001022346
-166.6083552844652,0.004116461998492014
-162.6933929868762,0.004060529000998941
-162.08778909455424,0.004117572999675758
-165.31873597162652,0.004032198999484535
-166.8775685465394,0.0041131979995407165
-162.50455240173648,0.003971259997342713
-163.61035245632578,0.00391407900111517
-162.48172178392434,0.0039163340008235535
-164.7457087124033,0.004055691000248771
-164.57824186943057,0.0039504619987565095
-165.42386655206602,0.004024873999005649
-165.13780514104732,0.003918147001822945
-162.4613191451035,0.004105518001597375
-162.85317368407306,0.004068933002708945
-163.40825774042807,0.0039485170002444645
-163.78380550736253,0.003933497000834904
-164.8143043892938,0.0040808669992838985
-165.8628936794539,0.004296731001813896
-165.8909024734307,0.003992087001970504
-163.8191398319573,0.00394725899794139
-167.63983599676976,0.003972534999775235
-165.04858467830348,0.004110408001288306
-163.40387320067921,0.003921195999428164
-162.8923524613838,0.004407321999315173
-164.77928306322454,0.003997486998268868
-164.5172781457287,0.003940253999317065
-167.5996633069313,0.004101410000876058
-162.9221852634096,0.003935136999352835
-163.64314729101798,0.004237856000254396
-164.45430080522038,0.004000217998982408
-163.34526914401687,0.004045819000166376
-162.18740593443624,0.004063023998751305
-162.78541976369291,0.004124705002177507
-165.49082556189057,0.00412465199799044
-166.18078188728984,0.004175183000043035
-165.3932175537555,0.0041260529999271964
-165.4342189903648,0.004026838999125175
-164.25389475563836,0.003969109001918696
-162.30225238502052,0.004081871999660507
-163.49580192671675,0.004144306002126541
-164.4157495641527,0.003954486998554785
-163.8190225730928,0.004065438999095932
-164.36111524454134,0.0042641980003099884
-164.41552253892849,0.004137274001841433
-164.65904757429678,0.0042416619989671745
-167.23919832879386,0.0040549760000430975
-161.84356599332156,0.00415975199895911
-162.59844984139846,0.004063887000083924
-163.20705546076653,0.004050875001121312
-162.49880038569995,0.004014740000711754
-166.46001431324268,0.0040630580016295425
-164.26320310923398,0.004176121001364663
-165.9135535084257,0.004348715999512933
-165.02083288134858,0.004170348999614362
-163.8264545426018,0.004120834998611826
-165.5688268230845,0.003985705001396127
-163.33650995495753,0.004208881001977716
-162.73250626723586,0.004249068999197334
-162.4342241308739,0.004410504999978002
-168.2629575308913,0.005390459001646377
-161.83859271122157,0.00772046899975976
-166.16417174148745,0.006417985002335627
-163.66951902073853,0.00535304200137034
-163.77190801699007,0.004866606998839416
-165.25870029481314,0.006280325998668559
-161.634059210052,0.005436125000705942
-163.1881727500052,0.004592822999402415
-166.74477965472565,0.005663390000408981
-164.70127037997514,0.005591430999920703
-165.0034991396299,0.004907947001629509
-164.87600634652156,0.0042953420002595525
-162.12189922524485,0.004246107997023501
-163.5867103160269,0.004172517999541015
-162.07835019045748,0.004336399998574052
-164.87199434562584,0.004950640999304597
-164.22413253875908,0.005028839999285992
